Producto_A,Codigo_A,Producto_B,Codigo_B,Soporte_Conjunto_%,Confianza_%,Lift,Soporte_A_%,Soporte_B_%
PROTECTOR KOTEX  LARGOS 1X15,7441008156741,ZUKO LIMON 13gr,7503037746147,0.01,25.0,12.33,0.03,0.02
lavaplatos liquido axion 400,7509546017143,ARROZ TIO PELON 90% SELE 1.5kg,7441006003863,0.01,40.0,12.33,0.02,0.03
PAPEL ALUM. EZWRP 25 PIESCUADR.,7441010606692,SOPA  MARUCHAN RES BOLSA 85GRS,41789002922,0.01,25.0,12.33,0.03,0.02
TAZA PERSONALIZADA SY4,6240471042848,COMBO AHORRO FR. ROJOL Z,7441057501820,0.01,40.0,12.33,0.02,0.03
BOLSA PLASTICA CAMISETA G-M-P.,53,SOPA  MARUCHAN RES BOLSA 85GRS,41789002922,0.01,25.0,12.33,0.03,0.02
DETERG. ORIX 900 GR,748928001876,ARROZ TIO PELON AZUL 80/20 3K Z,7441006011202,0.01,30.0,12.33,0.03,0.02
ZUKO FRESA 13gr,7503037746239,ZUKO LIMON 13gr,7503037746147,0.01,25.0,12.33,0.03,0.02
MIEL DE ABEJA 180GS MONDAIZA,730345004042,CEREAL BARRA 6,7441001002625,0.01,25.0,12.33,0.03,0.02
GELATINA DIET.X ARANDANOS 11GS,7441005639308,LECHE DESCREMADA 0% GRASA  LITRO z,7441001601156,0.01,40.0,12.33,0.02,0.03
GALLETA MILAN MENTA 134G,7441001650093,Bon o bon choco fresa 75g,7500443004748,0.01,28.57,11.74,0.02,0.02
panadol dia,7451079003615,panadol noche,7451079003639,0.02,33.33,11.74,0.05,0.02
BARRA FRUTAL UVA 27GS,7441001004575,FRUTAL MANZANA ROJA,7441001004544,0.01,33.33,11.74,0.02,0.02
GELATINA ROYAL LIMON 40G,7622300134075,gelatina narnja 80 grs Z,7622210647283,0.01,28.57,11.74,0.02,0.02
sofrito roma 210 grs,731701016228,CEREAL RODITAS MASMELO 150 GS JACKS,7441001010828,0.01,28.57,11.74,0.02,0.02
CHCOCOLATE GALLITO SURTIDO EN CAJA 205 GS,7441001647277,GALLETA MILAN MENTA 134G,7441001650093,0.01,33.33,11.74,0.02,0.02
ZUKO TE FRIO FRAMBUESA 13gr,7503037746437,ZUKO TE DURAZNO 13gr,7503037746413,0.01,57.14,11.74,0.02,0.04
ZUKO TE FRIO LIMON 13gr,7503037746420,ARROZ TIO PELON ROJO 91% 9K,7441006022321,0.03,42.86,11.74,0.07,0.03
ATUN CON VEGETALES MI SABOR,7441010608153,PAPEL HIGIENICO ENCANTO 1 x 4 CLASICO,7416502201587,0.01,33.33,11.74,0.02,0.02
RINSO ROSAS Y LILAS 1000G,7411000384596,TORTILLA 250 GS CLASICA GINA,7441031600235,0.01,28.57,11.74,0.02,0.02
CONFITE MENTA GALLITO,7441001620201,CNFITE MORENITO 52und,7441001620225,0.01,33.33,11.74,0.02,0.02
ZUKO TE FRIO FRAMBUESA 13gr,7503037746437,ARROZ TIO PELON ROJO 91% 9K,7441006022321,0.01,42.86,11.74,0.02,0.03
RINSO ROSAS Y LILAS 1500G,7411000384602,RINSO ROSAS Y LILAS 1000G,7411000384596,0.01,33.33,11.74,0.02,0.02
MARSHMALLOW STARS QUAKER 377G,803275000528,ATUN PRONTO TROCITOS 354 G,731701012053,0.01,28.57,11.74,0.02,0.02
MARSHMALLOW STARS QUAKER 377G,803275000528,"FULIDER CUADERNO COSIDO PEQ UNICOLOR 165X210,55G 50H 96/CJ",6604072010031,0.01,28.57,11.74,0.02,0.02
ACEITE CAPULLO 900 ML OFERTA,7441007201190,PASTA MAXFRESH 50 ML Z,7509546032023,0.01,37.5,11.56,0.03,0.03
AJINOMOTO SUPER AMERICA 500 GS,36,ph. delsey 2 preg. 12x4,7441008102342,0.02,27.78,11.41,0.06,0.02
FRIJOL TOCORORO NEGRO 800 GRS,7441057503169,AXION BARRA LIMON 250G,99176003489,0.01,23.08,11.38,0.04,0.02
AXION LIQUIDO 400 ML,7509546657684,GALLETA COCANAS PAQ8 UNIDADES,7441163401786,0.01,50.0,11.21,0.02,0.04
MUSLITO DE POLLO LA GRANJA 4 UDS,7441001638640,CEREAL BARRA 6,7441001002625,0.01,22.22,10.96,0.03,0.02
GALLETA DE AVENA 38 G. MANZANA CANELA,7501000634125,LECHE DESCREMA TB 250ML 0%,7441001601163,0.01,22.22,10.96,0.03,0.02
MILAN x 12 und,7441001620287,CORAZON GALLITO 25und,7441001622434,0.01,40.0,10.96,0.02,0.03
CAFE DORADO 2PACK,836778005967,LAVAPLATOS IREX  LIMON 250GRS,748928001265,0.01,44.44,10.96,0.03,0.03
ARROZ TIO PELON ROJO 91% 9K,7441006022321,ZUKO LIMON 13gr,7503037746147,0.01,22.22,10.96,0.03,0.02
papel higuienico Nevax 900 H.,7501036624190,CONSOME KNORR/P/ ARROZ  PT/4,7411000344958,0.01,22.22,10.96,0.03,0.02
ACEITE CLOVER SOYA 3 LTR,751963311619,ATUN VEGETALES SARDIMAR 105GR,7441002600097,0.01,66.67,10.96,0.02,0.05
tang limon 13 g.,7622201393465,ARROZ TIO PELON ROJO 91% 9K,7441006022321,0.02,38.89,10.65,0.06,0.03
tang limon 13 g.,7622201393465,CAFE DORADO 2PACK,836778005967,0.02,38.89,10.65,0.06,0.03
LECHE ENTERA CORONADO 350 GS.,7441013505695,MARSHMALLOW STARS QUAKER 377G,803275000528,0.02,30.0,10.57,0.06,0.02
NATURAS SOFRITO CRIOLLO 210G,7411000313961,AXION BARRA LIMON 250G,99176003489,0.01,21.43,10.57,0.05,0.02
ZUKO TE FRIO LIMON 13gr,7503037746420,CAFE DORADO 2PACK,836778005967,0.03,38.1,10.44,0.07,0.03
CREMA P CAFE SR CAFE 180G,7441002411037,AXION LIQUIDO 400 ML,7509546657684,0.01,25.0,10.27,0.04,0.02
HISOPO ETERNA INODORO,7441040001412,DESTUPIDOR ETERNA,7441040002402,0.01,25.0,10.27,0.03,0.02
MAGDALENA DEL VALLE 1X8,7443001260630,ph. delsey 2 preg. 12x4,7441008102342,0.01,25.0,10.27,0.05,0.02
PAPAEL HIGIENICO SCOTT 1X12 DOBLE HOJA,7441008174967,SALSA SOFRITO ROMA,731701014965,0.01,33.33,10.27,0.02,0.03
MILAN GALLITO MENTA 12 UNI,7441001620300,TAPITA GALLITO 102 GS 12unid,7441001620355,0.01,33.33,10.27,0.02,0.03
GALLETA DE AVENA 38 G. MANZANA CANELA,7501000634125,GALLETA DE AVENA FRUTOS ROJOS 38 G.,7501000634132,0.01,33.33,10.27,0.03,0.03
ALIMENTO PARA CONEJO ENGORDE 1K,7443007530430,"FULIDER CUADERNO COSIDO PEQ UNICOLOR 165X210,55G 50H 96/CJ",6604072010031,0.01,25.0,10.27,0.03,0.02
BARRA GRANOLA MIEL,7441001000966,BARRA FRUTAL UVA 27GS,7441001004575,0.01,25.0,10.27,0.03,0.02
Bon o bon choco fresa 75g,7500443004748,TAPITA GALLITO 102 GS 12unid,7441001620355,0.01,33.33,10.27,0.02,0.03
BARRA CERAL FRUTAL MANZANA Y TE VERDE JACKS,7441001002564,BARRA FRUTAL UVA 27GS,7441001004575,0.01,25.0,10.27,0.03,0.02
PASTA MAXFRESH 50 ML Z,7509546032023,ARROZ TIO PELON ROJO 91% 9K,7441006022321,0.01,37.5,10.27,0.03,0.03
TOALLA KOTEX ESEN/SIAL C/A 1X10,7441008164821,PROTECTOR KOTEX  LARGOS 1X15,7441008156741,0.01,33.33,10.27,0.02,0.03
PROTECTOR KOTEX  LARGOS 1X15,7441008156741,CAFE DORADO 2PACK,836778005967,0.01,37.5,10.27,0.03,0.03
PASTA MAXFRESH 50 ML Z,7509546032023,CAFE DORADO 2PACK,836778005967,0.01,37.5,10.27,0.03,0.03
Nevas pague 3 lleve 4,7441057268068,TORTILLA 250 GS CLASICA GINA,7441031600235,0.01,25.0,10.27,0.03,0.02
ARROZ TIO PELON 90% SELE 1.5kg,7441006003863,LIMP FABULOSO CITRICUS BO,99176132493,0.01,25.0,10.27,0.03,0.02
CHCOCOLATE GALLITO SURTIDO EN CAJA 205 GS,7441001647277,TAPITA GALLITO 102 GS 12unid,7441001620355,0.01,33.33,10.27,0.02,0.03
achiotin pelota grande,7443002260042,ARROZ TIO PELON ROJO 91% 9K,7441006022321,0.02,36.84,10.09,0.06,0.03
BEBIDA PREPARADA KARMA GUARANA 350 ML,7401000710808,BEBIDA PREPARADA KARMA PIñA COLADA 350 ML,7401000709291,0.01,28.57,10.06,0.02,0.02
CREMA CLOSE UP ROJA 90GS,7891037744356,JABON ANTIBACTERAL LIQUIDO 220 ML,7441010660298,0.01,28.57,10.06,0.02,0.02
ZUKO TE FRIO FRAMBUESA 13gr,7503037746437,chop suey 175 g vigui,14979112121,0.01,28.57,10.06,0.02,0.02
GELATINA ROYAL UVA 40G,7622300134082,GELATINA ROYAL LIMON 40G,7622300134075,0.01,28.57,10.06,0.02,0.02
PAPAEL ALUMINIO POLIPAK 16 M. REP.,7441005624397,ARROZ TIO PELON ROJO 91% 9K,7441006022321,0.01,36.36,9.96,0.04,0.03
PAPAEL ALUMINIO POLIPAK 16 M. REP.,7441005624397,CAFE DORADO 2PACK,836778005967,0.01,36.36,9.96,0.04,0.03
ZUKO DURAZNO 13gr,7503037746109,ZUKO NARANJA FRESA 13gr,7503037746178,0.01,36.36,9.96,0.04,0.03
ZUCO GUANABANA 13gr,7503037746161,ZUKO DURAZNO 13gr,7503037746109,0.01,44.44,9.96,0.03,0.04
Encanto 3 pack toalla,7416502202423,ATUN SPLASH VEGETALES 105G,7441002630001,0.0,20.0,9.86,0.02,0.02
CEREAL BARRA 6,7441001002625,JABON PROTEX  ALOE,99176922384,0.01,40.0,9.86,0.02,0.03
CALAMARES PAY PAY EN SU TINTA 115G,8410042156405,Guayabita bandeja,1326,0.0,20.0,9.86,0.02,0.02
CEREAL BARRA 6,7441001002625,CHIKY CHOC. 12,86581010881,0.0,20.0,9.86,0.02,0.02
AJAX C TRICOLIN  REGU 250G,99176120889,JABON DIVA ALOE,7509546650289,0.0,20.0,9.86,0.02,0.02
PALETA HAWAI FRUTAS,7441134017794,PIARANA LAZOS TRANSPARENTE 6CM 150/CJ,1884,0.0,20.0,9.86,0.02,0.02
MONEDERO D/ FLOR  PC0907-9  1440/CJ  x002,2025090907009,NAV BOLSA REGALO PARA BOTELLA 36X12X10 720/CJ,6624035004242,0.0,20.0,9.86,0.02,0.02
SORBETO FESTIVAL VAINILLA,86581004187,CHIKY CHOC. 12,86581010881,0.0,20.0,9.86,0.02,0.02
GELATINA DIET.X ARANDANOS 11GS,7441005639308,ACEITE DE OLIVA EXTRA VIRGEN ROMA 250ML,731701004089,0.0,20.0,9.86,0.02,0.02
GELATINA DIET.X ARANDANOS 11GS,7441005639308,te hierba bueno 25 und,730345002529,0.0,20.0,9.86,0.02,0.02
SORBETO FESTIVAL VAINILLA,86581004187,papel aluminio 30m,9090400190006,0.0,20.0,9.86,0.02,0.02
rexona clinical expert,7506306214989,CHIKY CHOC. 12,86581010881,0.0,20.0,9.86,0.02,0.02
PALITOS DIANA 200 GS,748757000248,te blanco 2.500 ml cero,7441001637070,0.0,20.0,9.86,0.02,0.02
ROMA PASTA CORTA MIX 12X250g,731701018338,GALLETA YEMA POZUELO PTE/6,7441163400185,0.0,20.0,9.86,0.02,0.02
ROMA PASTA CORTA MIX 12X250g,731701018338,GERBER MELOCOTON 100 GS,7501058642295,0.0,20.0,9.86,0.02,0.02
FRIJOLES ROJOS MOLIDOS NATURAS 400 GS.,7411000345078,DESINFECTANTE IREX ESENCIAL 750 ML,748928012001,0.0,20.0,9.86,0.02,0.02
TIRAS ACTIVAS MR MUSCULO LAVANDA,7501032915490,PARCHE SALONPAS 1X10,4987188509067,0.0,20.0,9.86,0.02,0.02
Toallas 2 pack Magic,7406233301106,DESINFECTANTE IREX ESENCIAL 750 ML,748928012001,0.0,20.0,9.86,0.02,0.02
DOÑA BLANCA CIL. 250 G,99176003694,SALSA CHUNKY S CRUZ PICANTE 250 FL,796500000281,0.01,40.0,9.86,0.02,0.03
bw hugie manitas y caritas 24x48,7702425809772,ALOE DRINK OKF 1.5L,884394000798,0.0,20.0,9.86,0.02,0.02
bokita club integral bs 9,7441163406811,Salsa tomate Lizano,7411000347362,0.01,20.0,9.86,0.03,0.02
PALITOS DIANA 200 GS,748757000248,palitos chilimon diana 200gs,748757001634,0.0,20.0,9.86,0.02,0.02
SALSA TOMATE KERNS FLEX 114 GR,88313330182,ARROZ MISABOR 8 K + ACEITE,7441010655171,0.0,20.0,9.86,0.02,0.02
GERBER MELOCOTON 100 GS,7501058642295,SUEROX  NARANJA-MANDARINA 630 ML,650240063237,0.0,20.0,9.86,0.02,0.02
SOPA MARUCHAN RAMEN CAMARON PCANTE,41789002984,SOPA  MARUCHAN RES BOLSA 85GRS,41789002922,0.0,20.0,9.86,0.02,0.02
rexona clinical expert,7506306214989,GALLETA YEMA POZUELO PTE/6,7441163400185,0.0,20.0,9.86,0.02,0.02
GERBER MELOCOTON 100 GS,7501058642295,GALLETA YEMA POZUELO PTE/6,7441163400185,0.0,20.0,9.86,0.02,0.02
MAIZENA NATURA 95GS            Z,7411000342473,CAMPESTRE CHIPOTLE 200GS,769470003217,0.0,20.0,9.86,0.02,0.02
TIRAS ACTIVAS MR MUSCULO LAVANDA,7501032915490,CEREAL BARRA 6,7441001002625,0.0,20.0,9.86,0.02,0.02
PROTEX LIMPIEZA PROFUNDA,99176922575,AXION BARRA LIMON 250G,99176003489,0.01,20.0,9.86,0.03,0.02
BOLSA DE REGALO BB M,6811237527253,Churros crunch 25g,7441001010958,0.0,20.0,9.86,0.02,0.02
LIMA PARA UÑAS,7453010020446,GALLETA NARANJA NUTRI SNACKS 24 GS,873617002176,0.0,20.0,9.86,0.02,0.02
SALSA LIZANO SUAVE PLAST 280ML,7411000344897,SOPA  MARUCHAN RES BOLSA 85GRS,41789002922,0.01,20.0,9.86,0.03,0.02
Encanto 3 pack toalla,7416502202423,ARROZ MISABOR 8 K + ACEITE,7441010655171,0.0,20.0,9.86,0.02,0.02
ROMA PASTA CORTA MIX 12X250g,731701018338,CHIKY CHOC. 12,86581010881,0.0,20.0,9.86,0.02,0.02
ROMA PASTA CORTA MIX 12X250g,731701018338,papel aluminio 30m,9090400190006,0.0,20.0,9.86,0.02,0.02
CEREAL BARRA 6,7441001002625,MULTIUSO SCOTT,7441008160229,0.0,20.0,9.86,0.02,0.02
CHIKY CHOC. 12,86581010881,GALLETA YEMA POZUELO PTE/6,7441163400185,0.0,20.0,9.86,0.02,0.02
CHIKY CHOC. 12,86581010881,GERBER MELOCOTON 100 GS,7501058642295,0.0,20.0,9.86,0.02,0.02
tableta rellena guayaba,7441001630293,TABLETA RELLENA LECHE PINITO,7441001637766,0.01,20.0,9.86,0.03,0.02
ESCURRIDOR 3128,6927560431287,CEPILLO ETERNA suave 8,7441040001306,0.0,20.0,9.86,0.02,0.02
ESCURRIDOR 3128,6927560431287,te hierba bueno 25 und,730345002529,0.0,20.0,9.86,0.02,0.02
ESCURRIDOR 3128,6927560431287,PAPEL CELOFAN COLORES,1000011103072,0.0,20.0,9.86,0.02,0.02
MASA DOÑAREPA MAIZ AMARILLO 1K,7702020211093,BANDEJA PLASTICA  #4,642348,0.0,20.0,9.86,0.02,0.02
MANTECADO 40 GS LOS CLAVOS,7443030900002,TIRAS ACTIVAS MR MUSCULO LAVANDA,7501032915490,0.0,20.0,9.86,0.02,0.02
DELIGURT IN LINE FRUTAS 750 ML.,7441001602771,FRIJOL DON PEDRO ROJO SELECTO 450GR,7441037917047,0.0,20.0,9.86,0.02,0.02
SORBETO FESTIVAL VAINILLA,86581004187,ATUN VEGETALES SARDIMAR 105GR,7441002600097,0.01,60.0,9.86,0.02,0.05
rexona clinical expert,7506306214989,papel aluminio 30m,9090400190006,0.0,20.0,9.86,0.02,0.02
rexona clinical expert,7506306214989,GERBER MELOCOTON 100 GS,7501058642295,0.0,20.0,9.86,0.02,0.02
Churros crunch 25g,7441001010958,MASA DOÑAREPA MAIZ AMARILLO 1K,7702020211093,0.0,20.0,9.86,0.02,0.02
Churros crunch 25g,7441001010958,BARRA GRANOLA + PROTEINA,873617008123,0.0,20.0,9.86,0.02,0.02
FIDEO ROMA TORNILLO  250GR,731701001408,ZUKO LIMON 13gr,7503037746147,0.0,20.0,9.86,0.02,0.02
Lazo ancho corazon,6241183058028,PAPEL CELOFAN COLORES,1000011103072,0.0,20.0,9.86,0.02,0.02
ATUN SPLASH VEGETALES 105G,7441002630001,TARTARA BLISTER LEGADO,7443006821355,0.0,20.0,9.86,0.02,0.02
ATUN SPLASH VEGETALES 105G,7441002630001,CAMPESTRE CHIPOTLE 200GS,769470003217,0.0,20.0,9.86,0.02,0.02
CREMA NIVEA BODY 100 ML,7501054549796,BARRA SUPER COCO BIANCHI,7702993053256,0.0,20.0,9.86,0.02,0.02
rexona clinical expert,7506306214989,MASHMALLOW STARS QUAKER 170G,803275000580,0.0,20.0,9.86,0.02,0.02
SORBETO FESTIVAL VAINILLA,86581004187,lavaplatos liquido axion 400,7509546017143,0.0,20.0,9.86,0.02,0.02
JABON LAVAPLATOS AXION 8500 GS LIMON,7509546696867,Toallas 2 pack Magic,7406233301106,0.0,20.0,9.86,0.02,0.02
JABON LAVAPLATOS AXION 8500 GS LIMON,7509546696867,DESINFECTANTE IREX ESENCIAL 750 ML,748928012001,0.0,20.0,9.86,0.02,0.02
ATUN SPLASH VEGETALES 105G,7441002630001,ATUN SPLASH BBB VEGETALES 140 GS,7441002653505,0.0,20.0,9.86,0.02,0.02
NARANITAS JACKS. 300 GS.,7441001002878,NIEVE  DE FRUTAS,7441163700025,0.0,20.0,9.86,0.02,0.02
JABON LAVAPLATOS AXION 8500 GS LIMON,7509546696867,TOALLA SILUETA REGULAR 2PACK,7443010581443,0.0,20.0,9.86,0.02,0.02
PASTILLA TRONEX FLORAL,7441005617795,DESOD SANIT TRONEX VAINI/ALAMB,7441005617818,0.0,20.0,9.86,0.02,0.02
SUAVISANTE DOWNY PERLAS APRIL FERESH 141 GS,30772090947,pastilla desinfectante blanko bouquet,7441005634198,0.0,20.0,9.86,0.02,0.02
planta ornamental mediana,1812,"HERSHEY""S KISSES 10und",122967,0.0,20.0,9.86,0.02,0.02
SALSA RANCHERA PEQ.,731701014972,TABASCO PELON 60GRS,7441006011950,0.0,20.0,9.86,0.02,0.02
